"items__id_pleito","items__tipo_interessado","items__interessado","items__cod_ibge","items__uf","items__num_pvl","items__status","items__num_processo","items__data_protocolo","items__tipo_operacao","items__finalidade","items__tipo_credor","items__credor","items__moeda","items__valor","items__pvl_assoc_divida","items__pvl_contradado_credor","items__data_status","hasMore","limit","offset","count","links__rel","links__href"
"10410","Município","Conde","2908606","BA","null","Deferido","17944.001193/2008-24","2008-08-08T03:00:00Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Agência de Fomento do Estado da Bahia S/A","Real","500000","0","0","18/08/2008","False","5000","0","894","self","http://apidatalake-ords.apps.ocp.tesouro.gov.br/ords/sadipem/tt/pvl?uf=BA&tipo_interessado=Munic%C3%ADpio"
"10421","Município","Feira de Santana","2910800","BA","null","Regularizado","17944.001195/2013-81","2013-09-25T03:00:00Z","Operação contratual interna","Regularização de Dívida - Água e Esgoto","Empresa Estatal","Empresa Baiana de Águas e Saneamento S/A","Real","4814974.97","0","0","14/11/2013","","","","","describedby","http://apidatalake-ords.apps.ocp.tesouro.gov.br/ords/sadipem/metadata-catalog/tt/item"
"10446","Município","Quijingue","2925907","BA","null","Arquivado por decurso de prazo","17944.001202/2009-68","2009-12-14T02:00:00Z","Operação contratual interna","Aquisição de máquinas, equipamentos e veículos","Instituição Financeira Nacional","Agência de Fomento do Estado da Bahia S/A","Real","130000","0","0","24/01/2011","","","","","first","http://apidatalake-ords.apps.ocp.tesouro.gov.br/ords/sadipem/tt/pvl?uf=BA&tipo_interessado=Munic%C3%ADpio"
"11971","Município","Presidente Tancredo Neves","2925758","BA","null","Em retificação pelo interessado","17944.001571/2007-99","2022-12-21T03:00:00Z","Operação contratual interna","Regularização de Dívida - Água e Esgoto","Empresa Estatal","Empresa Baiana de Águas e Saneamento S/A","Real","26679.24","1","0","23/12/2022","","","","","",""
"10747","Município","Lauro de Freitas","2919207","BA","null","Deferido","17944.001273/2011-85","2012-01-20T02:00:00Z","Operação contratual interna","PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias","Instituição Financeira Nacional","Caixa Econômica Federal","Real","1138293.09","1","0","08/02/2012","","","","","",""
"10163","Município","Teixeira de Freitas","2931350","BA","null","Deferido","17944.001134/2008-56","2009-07-29T03:00:00Z","Operação contratual interna","PAC - Saneamento - 2008 B","Instituição Financeira Nacional","Caixa Econômica Federal","Real","13000000","0","0","29/07/2009","","","","","",""
"10837","Município","Barra do Choça","2902906","BA","null","Deferido","17944.001298/2008-83","2008-05-13T03:00:00Z","Operação contratual interna","Aquisição de máquinas, equipamentos e veículos","Instituição Financeira Nacional","Agência de Fomento do Estado da Bahia S/A","Real","500000","0","0","04/06/2008","","","","","",""
"40030","Município","Salvador","2927408","BA","PVL02.007872/2019-05","Encaminhado à PGFN com manifestação técnica favorável","17944.104129/2019-57","2019-11-11T18:42:15Z","Operação contratual interna (com garantia da União)","Infraestrutura","Instituição Financeira Nacional","Caixa Econômica Federal","Real","104100000","1","1","19/11/2019","","","","","",""
"12640","Município","Tapiramutá","2931301","BA","null","Deferido","17944.001739/2008-47","2008-08-18T03:00:00Z","Operação contratual interna","Aquisição de máquinas, equipamentos e veículos","Instituição Financeira Nacional","Agência de Fomento do Estado da Bahia S/A","Real","65000","0","0","28/08/2008","","","","","",""
"60890","Município","Cairu","2905404","BA","PVL02.005841/2022-15","Deferido","17944.102885/2022-47","2022-07-22T20:47:12Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Caixa Econômica Federal","Real","8000000","0","1","28/07/2022","","","","","",""
"52351","Município","Milagres","2921302","BA","PVL02.000283/2022-93","Deferido (PVL-IF)","null","null","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Caixa Econômica Federal","Real","5000000","0","0","08/06/2022","","","","","",""
"10359","Município","Alcobaça","2900801","BA","null","Deferido","17944.001180/2014-01","2016-03-31T03:00:00Z","Operação contratual interna","Aquisição de máquinas, equipamentos e veículos","Instituição Financeira Nacional","Agência de Fomento do Estado da Bahia S/A","Real","3693000","0","0","15/04/2016","","","","","",""
"18381","Município","São Sebastião do Passé","2929503","BA","null","Deferido","19407.000011/2004-87","2004-04-30T03:00:00Z","Operação contratual interna","Aquisição de máquinas, equipamentos e veículos","Instituição Financeira Nacional","Agência de Fomento do Estado da Bahia S/A","Real","500000","0","0","21/05/2004","","","","","",""
"12620","Município","Piritiba","2924801","BA","null","Arquivado por decurso de prazo","17944.001730/2014-84","2014-11-12T02:00:00Z","Operação contratual interna","Aquisição de máquinas, equipamentos e veículos","Instituição Financeira Nacional","Agência de Fomento do Estado da Bahia S/A","Real","1000000","0","0","18/02/2015","","","","","",""
"7026","Município","Teixeira de Freitas","2931350","BA","null","Arquivado por decurso de prazo","17944.000481/2009-42","2009-10-05T03:00:00Z","Operação contratual interna","Aquisição de máquinas, equipamentos e veículos","Instituição Financeira Nacional","Agência de Fomento do Estado da Bahia S/A","Real","260000","0","0","10/02/2010","","","","","",""
"13071","Município","Nova Viçosa","2923001","BA","null","Deferido","17944.001903/2006-54","2007-04-23T03:00:00Z","Operação contratual interna","Provias","Instituição Financeira Nacional","Banco do Brasil S/A","Real","660000","0","0","27/04/2007","","","","","",""
"11185","Município","Irecê","2914604","BA","null","Regularizado","17944.001379/2008-83","2019-04-04T03:00:00Z","Operação contratual interna","Regularização de Dívida - Energia Elétrica","Empresa Não Estatal","Companhia de Eletricidade do Estado da Bahia","Real","472652.66","1","0","12/04/2019","","","","","",""
"19168","Município","Dias d'Ávila","2910057","BA","00000.000000/2010-69","Deferido","17944.000569/2015-11","2015-08-04T19:36:40Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Agência de Fomento do Estado da Bahia S/A","Real","21000000","1","0","18/08/2015","","","","","",""
"7036","Município","Capela do Alto Alegre","2906857","BA","null","Deferido","17944.000483/2010-75","2010-04-28T03:00:00Z","Operação contratual interna","Aquisição de máquinas, equipamentos e veículos","Instituição Financeira Nacional","Agência de Fomento do Estado da Bahia S/A","Real","700000","0","0","21/05/2010","","","","","",""
"19618","Município","Riacho de Santana","2926400","BA","00000.000000/2011-46","Arquivado por decurso de prazo","17944.000806/2015-35","2015-09-02T03:00:00Z","Operação contratual interna","PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias","Instituição Financeira Nacional","Caixa Econômica Federal","Real","5700000","0","0","02/03/2016","","","","","",""
"7998","Município","São José do Jacuípe","2929370","BA","null","Deferido","17944.000692/2010-19","2010-11-16T02:00:00Z","Operação contratual interna","Aquisição de máquinas, equipamentos e veículos","Instituição Financeira Nacional","Agência de Fomento do Estado da Bahia S/A","Real","400000","0","0","17/12/2010","","","","","",""
"22902","Município","Brotas de Macaúbas","2904506","BA","00000.000000/2031-92","Deferido","17944.000834/2016-33","2016-07-18T03:00:00Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Agência de Fomento do Estado da Bahia S/A","Real","1800000","1","0","25/07/2016","","","","","",""
"12132","Município","Baianópolis","2902500","BA","null","Arquivado por decurso de prazo","17944.001610/2010-53","2010-11-22T02:00:00Z","Operação contratual interna","Aquisição de máquinas, equipamentos e veículos","Instituição Financeira Nacional","Agência de Fomento do Estado da Bahia S/A","Real","65000","0","0","28/06/2011","","","","","",""
"34231","Município","Sobradinho","2930774","BA","PVL02.003000/2019-60","Deferido","17944.102908/2019-18","2019-08-13T21:15:47Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Caixa Econômica Federal","Real","22000000","0","1","23/08/2019","","","","","",""
"42910","Município","Simões Filho","2930709","BA","PVL02.001364/2020-49","Deferido","17944.103116/2020-02","2020-07-24T16:18:12Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Caixa Econômica Federal","Real","8500000","0","0","28/07/2020","","","","","",""
"42393","Município","Rafael Jambeiro","2925956","BA","PVL02.000961/2020-56","Deferido","17944.101782/2020-06","2020-04-06T14:57:42Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Agência de Fomento do Estado da Bahia S/A","Real","3000000","0","0","13/04/2020","","","","","",""
"58016","Município","Santa Bárbara","2927507","BA","PVL02.003042/2022-04","Em retificação pelo credor","17944.101822/2022-73","2022-09-14T12:54:13Z","Operação contratual interna (com garantia da União)","Infraestrutura","Instituição Financeira Nacional","Caixa Econômica Federal","Real","7500000","0","0","29/09/2022","","","","","",""
"62418","Município","Rio de Contas","2926707","BA","PVL02.008688/2022-70","Deferido (PVL-IF)","null","null","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Agência de Fomento do Estado da Bahia S/A","Real","3000000","0","0","29/11/2022","","","","","",""
"62896","Município","Porto Seguro","2925303","BA","PVL02.007985/2022-06","Em análise","17944.104869/2022-99","2022-12-29T20:35:24Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Caixa Econômica Federal","Real","100000000","0","0","02/01/2023","","","","","",""
"8148","Município","São Desidério","2928901","BA","null","Deferido","17944.000723/2014-65","2014-04-30T03:00:00Z","Operação contratual interna","PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias","Instituição Financeira Nacional","Caixa Econômica Federal","Real","14224846.9","1","0","04/06/2014","","","","","",""
"9347","Município","Nova Fátima","2922730","BA","null","Arquivado","17944.000960/2008-88","2008-08-27T03:00:00Z","Operação contratual interna","Caminho da Escola 2","Instituição Financeira Nacional","Banco do Brasil S/A","Real","286700","0","0","07/11/2008","","","","","",""
"9425","Município","Piraí do Norte","2924678","BA","null","Arquivado por decurso de prazo","17944.000979/2012-19","2012-08-22T03:00:00Z","Operação contratual interna","PMAT","Instituição Financeira Nacional","Agência de Fomento do Estado da Bahia S/A","Real","2100000","0","0","14/06/2013","","","","","",""
"18594","Município","Sapeaçu","2929602","BA","null","Deferido","19407.000059/2006-57","2006-08-21T03:00:00Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Agência de Fomento do Estado da Bahia S/A","Real","500000","1","0","05/09/2006","","","","","",""
"18605","Município","Ibicuí","2912301","BA","null","Deferido","19407.000063/2002-91","2002-06-28T03:00:00Z","Operação contratual interna","Aquisição de máquinas, equipamentos e veículos","Instituição Financeira Nacional","Agência de Fomento do Estado da Bahia S/A","Real","300000","0","0","07/08/2002","","","","","",""
"18608","Município","Encruzilhada","2910404","BA","null","Deferido","19407.000064/2002-36","2002-06-28T03:00:00Z","Operação contratual interna","Aquisição de máquinas, equipamentos e veículos","Instituição Financeira Nacional","Agência de Fomento do Estado da Bahia S/A","Real","500000","0","0","25/02/2003","","","","","",""
"18617","Município","Ribeirão do Largo","2926657","BA","null","Deferido","19407.000067/2002-70","2003-01-31T02:00:00Z","Operação contratual interna","Aquisição de máquinas, equipamentos e veículos","Instituição Financeira Nacional","Agência de Fomento do Estado da Bahia S/A","Real","500000","0","0","20/02/2003","","","","","",""
