"items__id_pleito","items__tipo_interessado","items__interessado","items__cod_ibge","items__uf","items__num_pvl","items__status","items__num_processo","items__data_protocolo","items__tipo_operacao","items__finalidade","items__tipo_credor","items__credor","items__moeda","items__valor","items__pvl_assoc_divida","items__pvl_contradado_credor","items__data_status","hasMore","limit","offset","count","links__rel","links__href"
"9197","Estado","Minas Gerais","31","MG","null","Encaminhado à PGFN com manifestação técnica favorável","17944.000924/2009-03","2010-03-10T03:00:00Z","Operação contratual externa (com garantia da União)","Infraestrutura","Instituição Financeira Internacional","Banco Interamericano de Desenvolvimento","Dólar dos EUA","50000000","1","0","01/04/2010","False","5000","0","40","self","http://apidatalake-ords.apps.ocp.tesouro.gov.br/ords/sadipem/tt/pvl?uf=MG&tipo_interessado=Estado"
"7280","Estado","Minas Gerais","31","MG","null","Deferido","17944.000537/2010-01","2010-06-24T03:00:00Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Banco Nacional de Desenvolvimento Econômico e Social","Real","34889000","1","0","25/06/2010","","","","","describedby","http://apidatalake-ords.apps.ocp.tesouro.gov.br/ords/sadipem/metadata-catalog/tt/item"
"4926","Estado","Minas Gerais","31","MG","null","Arquivado","10951.000367/1998-24","1998-05-12T03:00:00Z","Operação contratual externa (com garantia da União)","Infraestrutura","Instituição Financeira Internacional","Banco Internacional para Reconstrução e Desenvolvimento","Dólar dos EUA","165000000","0","0","24/07/2002","","","","","first","http://apidatalake-ords.apps.ocp.tesouro.gov.br/ords/sadipem/tt/pvl?uf=MG&tipo_interessado=Estado"
"13447","Estado","Minas Gerais","31","MG","null","Encaminhado à PGFN com manifestação técnica favorável","19405.000002/2006-78","2009-02-02T02:00:00Z","Operação contratual externa (com garantia da União)","Infraestrutura","Instituição Financeira Internacional","Banco Interamericano de Desenvolvimento","Dólar dos EUA","10000000","1","0","12/11/2009","","","","","",""
"5828","Estado","Minas Gerais","31","MG","null","Encaminhado à PGFN com manifestação técnica favorável","17944.000208/2013-02","2013-07-16T03:00:00Z","Operação contratual interna (com garantia da União)","Infraestrutura","Instituição Financeira Nacional","Banco do Brasil S/A","Real","1500000000","1","0","12/08/2013","","","","","",""
"10338","Estado","Minas Gerais","31","MG","null","Encaminhado à PGFN com manifestação técnica favorável","17944.001175/2009-23","2009-09-22T03:00:00Z","Operação contratual interna (com garantia da União)","PEF - Programa Emergencial de Financiamento dos Estados/DF","Instituição Financeira Nacional","Banco do Brasil S/A","Real","178180000","1","0","08/10/2009","","","","","",""
"11054","Estado","Minas Gerais","31","MG","null","Encaminhado à PGFN com manifestação técnica favorável","17944.001346/2012-10","2012-10-29T02:00:00Z","Operação contratual interna (com garantia da União)","Proinveste","Instituição Financeira Nacional","Banco Nacional de Desenvolvimento Econômico e Social","Real","1326389531.69","1","0","02/01/2013","","","","","",""
"7435","Estado","Minas Gerais","31","MG","null","Encaminhado à PGFN com manifestação técnica favorável","17944.000576/2009-66","2009-05-26T03:00:00Z","Operação contratual externa (com garantia da União)","Fortalecimento Institucional","Instituição Financeira Internacional","Banco Interamericano de Desenvolvimento","Dólar dos EUA","40000000","1","0","10/06/2009","","","","","",""
"6811","Estado","Minas Gerais","31","MG","null","Encaminhado à PGFN com manifestação técnica favorável","17944.000435/2008-62","2008-03-06T03:00:00Z","Operação contratual externa (com garantia da União)","Multissetorial","Instituição Financeira Internacional","Banco Internacional para Reconstrução e Desenvolvimento","Dólar dos EUA","976000000","1","0","02/07/2008","","","","","",""
"11132","Estado","Minas Gerais","31","MG","null","Encaminhado à PGFN com manifestação técnica favorável","17944.001368/2009-84","2009-11-20T02:00:00Z","Operação contratual externa (com garantia da União)","Infraestrutura","Instituição Financeira Internacional","Banco Interamericano de Desenvolvimento","Dólar dos EUA","137000000","1","0","26/11/2009","","","","","",""
"13602","Estado","Minas Gerais","31","MG","null","Encaminhado à PGFN com manifestação técnica favorável","19405.000034/2005-92","2005-10-31T02:00:00Z","Operação contratual externa (com garantia da União)","Infraestrutura","Instituição Financeira Internacional","Banco Interamericano de Desenvolvimento","Dólar dos EUA","50000000","1","0","18/04/2006","","","","","",""
"13275","Estado","Minas Gerais","31","MG","null","Arquivado a pedido","17944.002000/2013-10","2014-04-17T03:00:00Z","Operação contratual interna (com garantia da União)","Infraestrutura","Instituição Financeira Nacional","Banco Nacional de Desenvolvimento Econômico e Social","Real","600000000","0","0","24/04/2014","","","","","",""
"11571","Estado","Minas Gerais","31","MG","null","Encaminhado à PGFN com manifestação técnica favorável","17944.001479/2009-91","2010-03-26T03:00:00Z","Operação contratual externa (com garantia da União)","Multissetorial","Instituição Financeira Internacional","Banco Internacional para Reconstrução e Desenvolvimento","Dólar dos EUA","461000000","1","0","01/04/2010","","","","","",""
"7023","Estado","Minas Gerais","31","MG","null","Encaminhado à PGFN com manifestação técnica favorável","17944.000480/2012-01","2012-10-11T03:00:00Z","Operação contratual externa (com garantia da União)","Reestruturação e recomposição do principal de dívidas","Instituição Financeira Internacional","Agência Francesa de Desenvolvimento","Euro","300000000","1","0","16/10/2012","","","","","",""
"10011","Estado","Minas Gerais","31","MG","null","Deferido","17944.001099/2010-90","2010-08-23T03:00:00Z","Operação contratual interna","PMAE","Instituição Financeira Nacional","Banco Nacional de Desenvolvimento Econômico e Social","Real","4674242.98","1","0","25/08/2010","","","","","",""
"13641","Estado","Minas Gerais","31","MG","null","Deferido","19405.000042/2004-58","2004-11-26T02:00:00Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Banco Nacional de Desenvolvimento Econômico e Social","Real","53770000","1","0","08/12/2004","","","","","",""
"11696","Estado","Minas Gerais","31","MG","null","Arquivado a pedido","17944.001504/2014-01","2015-04-13T03:00:00Z","Operação contratual externa (com garantia da União)","Segurança pública","Instituição Financeira Internacional","Banco Interamericano de Desenvolvimento","Dólar dos EUA","70000000","0","0","29/04/2016","","","","","",""
"7032","Estado","Minas Gerais","31","MG","null","Encaminhado à PGFN com manifestação técnica favorável","17944.000482/2012-92","2012-10-11T03:00:00Z","Operação contratual externa (com garantia da União)","Reestruturação e recomposição do principal de dívidas","Instituição Financeira Internacional","Banco Internacional para Reconstrução e Desenvolvimento","Dólar dos EUA","450000000","1","0","15/10/2012","","","","","",""
"13618","Estado","Minas Gerais","31","MG","null","Encaminhado à PGFN com manifestação técnica favorável","19405.000037/2006-15","2009-02-26T03:00:00Z","Operação contratual externa (com garantia da União)","Multissetorial","Instituição Financeira Internacional","Banco Interamericano de Desenvolvimento","Dólar dos EUA","10000000","1","0","12/03/2009","","","","","",""
"11328","Estado","Minas Gerais","31","MG","null","Encaminhado à PGFN com manifestação técnica favorável","17944.001412/2012-51","2012-12-11T02:00:00Z","Operação contratual interna (com garantia da União)","Multissetorial","Instituição Financeira Nacional","Banco do Brasil S/A","Real","3653733000","1","0","03/01/2013","","","","","",""
"13587","Estado","Minas Gerais","31","MG","null","Encaminhado à PGFN com manifestação técnica favorável","19405.000031/2004-78","2004-11-27T02:00:00Z","Operação contratual externa (com garantia da União)","Desenvolvimento rural","Instituição Financeira Internacional","Banco Internacional para Reconstrução e Desenvolvimento","Dólar dos EUA","35000000","1","0","09/12/2004","","","","","",""
"20458","Estado","Minas Gerais","31","MG","00000.000000/2020-68","Arquivado a pedido","17944.001085/2015-81","2015-11-23T02:00:00Z","Operação contratual externa (com garantia da União)","Multissetorial","Instituição Financeira Internacional","Banco Interamericano de Desenvolvimento","Dólar dos EUA","50000000","0","0","29/04/2016","","","","","",""
"13672","Estado","Minas Gerais","31","MG","null","Encaminhado à PGFN com manifestação técnica favorável","19405.000048/2005-14","2005-12-28T02:00:00Z","Operação contratual externa (com garantia da União)","Multissetorial","Instituição Financeira Internacional","Banco Internacional para Reconstrução e Desenvolvimento","Dólar dos EUA","170000000","1","0","19/04/2006","","","","","",""
"13695","Estado","Minas Gerais","31","MG","null","Arquivado","19405.000053/2003-57","2003-08-25T03:00:00Z","Operação contratual externa (com garantia da União)","Infraestrutura","Instituição Financeira Internacional","Banco Internacional para Reconstrução e Desenvolvimento","Dólar dos EUA","35000000","0","0","20/02/2004","","","","","",""
"13549","Estado","Minas Gerais","31","MG","null","Deferido","19405.000023/2006-93","2006-05-19T03:00:00Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Banco do Brasil S/A","Iene","7250000000","1","0","29/05/2006","","","","","",""
"13595","Estado","Minas Gerais","31","MG","null","Indeferido","19405.000033/2002-03","2002-05-28T03:00:00Z","Operação contratual interna","Renegociação de dívidas","Instituição Financeira Nacional","Banco Nacional de Desenvolvimento Econômico e Social","Real","53770000","0","0","03/07/2002","","","","","",""
"6917","Estado","Minas Gerais","31","MG","null","Encaminhado à PGFN com manifestação técnica favorável","17944.000458/2012-53","2012-07-05T03:00:00Z","Operação contratual externa (com garantia da União)","Reestruturação e recomposição do principal de dívidas","Instituição Financeira Internacional","Credit Suisse AG","Dólar dos EUA","1300000000","1","0","01/11/2012","","","","","",""
"5582","Estado","Minas Gerais","31","MG","null","Arquivado a pedido","17944.000148/2013-10","2013-04-02T03:00:00Z","Operação contratual externa (com garantia da União)","Infraestrutura","Instituição Financeira Internacional","Corporação Andina de Fomento","Dólar dos EUA","300000000","0","0","10/04/2013","","","","","",""
"10265","Estado","Minas Gerais","31","MG","null","Arquivado a pedido","17944.001157/2013-28","2014-04-17T03:00:00Z","Operação contratual interna","PMAE","Instituição Financeira Nacional","Banco Nacional de Desenvolvimento Econômico e Social","Real","87453000","0","0","24/04/2014","","","","","",""
"27063","Estado","Minas Gerais","31","MG","PVL02.002572/2017-60","Arquivado pela STN","17944.103474/2017-10","2020-06-10T13:12:13Z","Operação contratual interna","Renegociação de dívidas","União","União","Real","93965168366.64","0","0","04/05/2021","","","","","",""
"5967","Estado","Minas Gerais","31","MG","null","Deferido","17944.000246/2011-95","2011-05-02T03:00:00Z","Concessão de garantia","Concessão de garantia a empresa estatal não dependente","Instituição Financeira Internacional","Kreditanstalt für Wiederaufbau","Euro","100000000","0","0","19/05/2011","","","","","",""
