,posse_de_veiculo,qtd_filhos,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau,sexo_M,posse_de_imovel_Y,tipo_renda_Pensioner,tipo_renda_State servant,tipo_renda_Student,tipo_renda_Working,educacao_Higher education,educacao_Incomplete higher,educacao_Lower secondary,educacao_Secondary / secondary special,estado_civil_Married,estado_civil_Separated,estado_civil_Single / not married,estado_civil_Widow,tipo_residencia_House / apartment,tipo_residencia_Municipal apartment,tipo_residencia_Office apartment,tipo_residencia_Rented apartment,tipo_residencia_With parents
0,Y,0,58.83287671232877,3.106849315068493,1,0,0,0,2.0,False,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
1,N,0,52.35616438356164,8.35890410958904,1,0,1,1,1.0,False,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
2,N,0,52.35616438356164,8.35890410958904,1,0,1,1,1.0,False,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
3,Y,0,46.224657534246575,2.106849315068493,1,1,1,1,2.0,False,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
4,Y,0,29.23013698630137,3.021917808219178,1,0,0,0,2.0,False,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
5,Y,0,29.23013698630137,3.021917808219178,1,0,0,0,2.0,False,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
6,N,0,27.48219178082192,4.024657534246575,1,0,1,0,2.0,False,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
7,N,0,27.48219178082192,4.024657534246575,1,0,1,0,2.0,False,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
8,N,1,30.04931506849315,4.438356164383562,1,0,0,0,2.0,False,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
9,N,1,30.04931506849315,4.438356164383562,1,0,0,0,2.0,False,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
10,Y,3,34.76438356164383,3.186301369863014,1,0,0,0,5.0,False,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
11,N,1,32.44383561643836,5.523287671232877,1,0,0,0,3.0,False,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
12,N,1,32.44383561643836,5.523287671232877,1,0,0,0,3.0,False,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
13,N,1,32.44383561643836,5.523287671232877,1,0,0,0,3.0,False,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
14,Y,0,56.16986301369863,12.191780821917808,1,0,1,0,2.0,False,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
15,Y,0,56.16986301369863,12.191780821917808,1,0,1,0,2.0,False,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
16,Y,0,56.16986301369863,12.191780821917808,1,0,1,0,2.0,False,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
17,Y,0,56.16986301369863,12.191780821917808,1,0,1,0,2.0,False,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
18,Y,0,56.16986301369863,12.191780821917808,1,0,1,0,2.0,False,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
19,Y,2,43.18082191780822,8.693150684931506,1,0,0,0,4.0,False,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
20,Y,2,43.18082191780822,8.693150684931506,1,0,0,0,4.0,False,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
21,Y,2,43.18082191780822,8.693150684931506,1,0,0,0,4.0,False,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
22,N,1,44.41643835616439,19.44931506849315,1,0,0,0,3.0,False,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
23,N,2,34.0027397260274,4.857534246575343,1,0,0,1,4.0,False,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
24,N,2,34.0027397260274,4.857534246575343,1,0,0,1,4.0,False,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
25,N,2,34.0027397260274,4.857534246575343,1,0,0,1,4.0,False,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
26,N,2,34.0027397260274,4.857534246575343,1,0,0,1,4.0,False,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
27,N,2,34.0027397260274,4.857534246575343,1,0,0,1,4.0,False,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
28,N,0,55.3041095890411,-1000.6657534246576,1,0,0,0,1.0,False,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
29,N,0,46.61917808219178,3.690410958904109,1,0,0,0,1.0,False,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
30,N,0,46.61917808219178,3.690410958904109,1,0,0,0,1.0,False,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
31,N,0,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
32,N,0,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
33,N,0,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
34,N,0,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
35,N,0,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
36,N,0,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
