"items__id_pleito","items__tipo_interessado","items__interessado","items__cod_ibge","items__uf","items__num_pvl","items__status","items__num_processo","items__data_protocolo","items__tipo_operacao","items__finalidade","items__tipo_credor","items__credor","items__moeda","items__valor","items__pvl_assoc_divida","items__pvl_contradado_credor","items__data_status","hasMore","limit","offset","count","links__rel","links__href"
"13624","Estado","Rio de Janeiro","33","RJ","null","Deferido","19405.000039/2002-72","2002-06-20T03:00:00Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Banco Nacional de Desenvolvimento Econômico e Social","Real","67482400","1","0","27/06/2002","False","5000","0","52","self","http://apidatalake-ords.apps.ocp.tesouro.gov.br/ords/sadipem/tt/pvl?uf=RJ&tipo_interessado=Estado"
"21388","Estado","Rio de Janeiro","33","RJ","00000.000000/2024-66","Encaminhado à PGFN com manifestação técnica favorável","17944.000158/2016-06","2016-02-19T02:00:00Z","Operação contratual interna (com garantia da União)","Infraestrutura","Instituição Financeira Nacional","Banco Nacional de Desenvolvimento Econômico e Social","Real","444811123.92","1","0","26/02/2016","","","","","describedby","http://apidatalake-ords.apps.ocp.tesouro.gov.br/ords/sadipem/metadata-catalog/tt/item"
"5516","Estado","Rio de Janeiro","33","RJ","null","Encaminhado à PGFN com manifestação técnica favorável","17944.000131/2011-09","2011-06-30T03:00:00Z","Operação contratual externa (com garantia da União)","Desenvolvimento sustentável","Instituição Financeira Internacional","Banco Internacional para Reconstrução e Desenvolvimento","Dólar dos EUA","485000000","1","0","04/07/2011","","","","","first","http://apidatalake-ords.apps.ocp.tesouro.gov.br/ords/sadipem/tt/pvl?uf=RJ&tipo_interessado=Estado"
"7085","Estado","Rio de Janeiro","33","RJ","null","Encaminhado à PGFN com manifestação técnica favorável","17944.000493/2012-72","2012-04-16T03:00:00Z","Operação contratual externa (com garantia da União)","Infraestrutura","Instituição Financeira Internacional","Corporação Andina de Fomento","Dólar dos EUA","120666000","1","0","04/10/2012","","","","","",""
"5630","Estado","Rio de Janeiro","33","RJ","null","Encaminhado à PGFN com manifestação técnica favorável","17944.000158/2013-55","2013-10-22T02:00:00Z","Operação contratual externa (com garantia da União)","Fortalecimento Institucional","Instituição Financeira Internacional","Banco Internacional para Reconstrução e Desenvolvimento","Dólar dos EUA","48000000","1","0","21/11/2013","","","","","",""
"5635","Estado","Rio de Janeiro","33","RJ","null","Encaminhado à PGFN com manifestação técnica favorável","17944.000159/2013-08","2013-04-08T03:00:00Z","Operação contratual interna (com garantia da União)","Infraestrutura","Instituição Financeira Nacional","Banco do Brasil S/A","Real","3135800000","1","0","06/05/2013","","","","","",""
"5640","Estado","Rio de Janeiro","33","RJ","null","Arquivado a pedido","17944.000160/2013-24","2013-03-18T03:00:00Z","Operação contratual externa (com garantia da União)","Infraestrutura","Instituição Financeira Internacional","Bank of America Merrill Lynch","Dólar dos EUA","716417910.45","0","0","29/07/2013","","","","","",""
"9050","Estado","Rio de Janeiro","33","RJ","null","Encaminhado à PGFN com manifestação técnica favorável","17944.000893/2010-16","2011-06-03T03:00:00Z","Operação contratual interna (com garantia da União)","Infraestrutura","Instituição Financeira Nacional","Caixa Econômica Federal","Real","259138332.31","1","0","04/07/2011","","","","","",""
"6660","Estado","Rio de Janeiro","33","RJ","null","Deferido","17944.000403/2010-81","2010-05-24T03:00:00Z","Operação contratual interna","PAC - Favelas","Instituição Financeira Nacional","Caixa Econômica Federal","Real","606046612.5","1","0","06/07/2010","","","","","",""
"13271","Estado","Rio de Janeiro","33","RJ","null","Encaminhado à PGFN com manifestação técnica favorável","17944.001999/2008-12","2009-07-01T03:00:00Z","Operação contratual externa (com garantia da União)","Desenvolvimento rural","Instituição Financeira Internacional","Banco Internacional para Reconstrução e Desenvolvimento","Dólar dos EUA","39500000","1","0","07/07/2009","","","","","",""
"13560","Estado","Rio de Janeiro","33","RJ","null","Deferido","19405.000026/2002-01","2002-06-25T03:00:00Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Banco Nacional de Desenvolvimento Econômico e Social","Real","49942","1","0","27/06/2002","","","","","",""
"12375","Estado","Rio de Janeiro","33","RJ","null","Encaminhado à PGFN com manifestação técnica favorável","17944.001671/2011-00","2011-10-18T02:00:00Z","Operação contratual externa (com garantia da União)","Preservação e recuperação ambiental","Instituição Financeira Internacional","Banco Interamericano de Desenvolvimento","Dólar dos EUA","451980000","1","0","27/12/2011","","","","","",""
"10562","Estado","Rio de Janeiro","33","RJ","null","Encaminhado à PGFN com manifestação técnica favorável","17944.001228/2013-92","2013-10-22T02:00:00Z","Operação contratual externa (com garantia da União)","Infraestrutura","Instituição Financeira Internacional","Banco Internacional para Reconstrução e Desenvolvimento","Dólar dos EUA","500000000","1","0","27/12/2013","","","","","",""
"5923","Estado","Rio de Janeiro","33","RJ","null","Encaminhado à PGFN com manifestação técnica favorável","17944.000234/2012-41","2012-04-16T03:00:00Z","Operação contratual externa (com garantia da União)","Infraestrutura","Instituição Financeira Internacional","Corporação Andina de Fomento","Dólar dos EUA","200000000","1","0","04/10/2012","","","","","",""
"13364","Estado","Rio de Janeiro","33","RJ","null","Encaminhado à PGFN com manifestação técnica favorável","17944.002059/2008-41","2009-05-14T03:00:00Z","Operação contratual externa (com garantia da União)","Infraestrutura","Instituição Financeira Internacional","Banco Internacional para Reconstrução e Desenvolvimento","Dólar dos EUA","211700000","1","0","22/05/2009","","","","","",""
"21660","Estado","Rio de Janeiro","33","RJ","00000.000000/2026-68","Arquivado a pedido","17944.000245/2016-55","2016-03-11T03:00:00Z","Operação contratual interna (com garantia da União)","Fortalecimento Institucional","Instituição Financeira Nacional","Banco do Brasil S/A","Real","1000000000","0","0","16/05/2016","","","","","",""
"8528","Estado","Rio de Janeiro","33","RJ","null","Deferido","17944.000793/2009-56","2009-07-17T03:00:00Z","Operação contratual interna","Aquisição de terrenos, imóveis e/ou construção de instalações","Instituição Financeira Nacional","Banco Nacional de Desenvolvimento Econômico e Social","Real","157000000","1","0","24/07/2009","","","","","",""
"9102","Estado","Rio de Janeiro","33","RJ","null","Encaminhado à PGFN com manifestação técnica favorável","17944.000903/2009-80","2009-07-29T03:00:00Z","Operação contratual interna (com garantia da União)","PEF - Programa Emergencial de Financiamento dos Estados/DF","Instituição Financeira Nacional","Banco do Brasil S/A","Real","61108000","1","0","06/08/2009","","","","","",""
"7057","Estado","Rio de Janeiro","33","RJ","null","Encaminhado à PGFN com manifestação técnica favorável","17944.000487/2014-87","2014-04-24T03:00:00Z","Operação contratual interna (com garantia da União)","Infraestrutura","Instituição Financeira Nacional","Banco Nacional de Desenvolvimento Econômico e Social","Real","3000000000","1","0","04/07/2014","","","","","",""
"7084","Estado","Rio de Janeiro","33","RJ","null","Encaminhado à PGFN com manifestação técnica favorável","17944.000493/2010-19","2010-08-06T03:00:00Z","Operação contratual externa (com garantia da União)","Fortalecimento Institucional","Instituição Financeira Internacional","Banco Internacional para Reconstrução e Desenvolvimento","Dólar dos EUA","18673000","1","0","19/08/2010","","","","","",""
"13629","Estado","Rio de Janeiro","33","RJ","null","Deferido","19405.000040/2002-05","2002-06-20T03:00:00Z","Operação contratual interna","Aquisição de máquinas, equipamentos e veículos","Instituição Financeira Nacional","Banco Nacional de Desenvolvimento Econômico e Social","Real","43527550","1","0","27/06/2002","","","","","",""
"5918","Estado","Rio de Janeiro","33","RJ","null","Encaminhado à PGFN com manifestação técnica favorável","17944.000233/2012-05","2012-04-16T03:00:00Z","Operação contratual externa (com garantia da União)","Infraestrutura","Instituição Financeira Internacional","Corporação Andina de Fomento","Dólar dos EUA","319675000","1","0","11/03/2016","","","","","",""
"6833","Estado","Rio de Janeiro","33","RJ","null","Deferido","17944.000440/2008-75","2008-04-11T03:00:00Z","Operação contratual interna","Multissetorial","Instituição Financeira Nacional","Banco Nacional de Desenvolvimento Econômico e Social","Real","15000000","1","0","18/04/2008","","","","","",""
"22594","Estado","Rio de Janeiro","33","RJ","00000.000000/2031-89","Arquivado por decurso de prazo","17944.000657/2016-95","2016-05-12T03:00:00Z","Operação contratual interna (com garantia da União)","Infraestrutura","Instituição Financeira Nacional","Banco Nacional de Desenvolvimento Econômico e Social","Real","989210440","0","0","25/10/2016","","","","","",""
"12410","Estado","Rio de Janeiro","33","RJ","null","Encaminhado à PGFN com manifestação técnica favorável","17944.001680/2011-92","2012-04-16T03:00:00Z","Operação contratual externa (com garantia da União)","Infraestrutura","Instituição Financeira Internacional","Banco Internacional para Reconstrução e Desenvolvimento","Dólar dos EUA","600000000","1","0","10/07/2012","","","","","",""
"10606","Estado","Rio de Janeiro","33","RJ","null","Deferido","17944.001240/2009-11","2009-10-22T02:00:00Z","Operação contratual interna","Aquisição de máquinas, equipamentos e veículos","Instituição Financeira Nacional","Banco do Brasil S/A","Real","20000000","1","0","04/11/2009","","","","","",""
"9750","Estado","Rio de Janeiro","33","RJ","null","Deferido","17944.001046/2006-92","2006-07-07T03:00:00Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Banco Nacional de Desenvolvimento Econômico e Social","Real","305737280","1","0","13/07/2006","","","","","",""
"10673","Estado","Rio de Janeiro","33","RJ","null","Encaminhado à PGFN com manifestação técnica favorável","17944.001256/2010-67","2011-06-03T03:00:00Z","Operação contratual interna (com garantia da União)","PAC - Copa Estádios","Instituição Financeira Nacional","Banco Nacional de Desenvolvimento Econômico e Social","Real","400000000","1","0","04/07/2011","","","","","",""
"8556","Estado","Rio de Janeiro","33","RJ","null","Encaminhado à PGFN com manifestação técnica favorável","17944.000797/2010-78","2011-06-30T03:00:00Z","Operação contratual externa (com garantia da União)","Multissetorial","Instituição Financeira Internacional","Banco Interamericano de Desenvolvimento","Dólar dos EUA","112000000","1","0","04/07/2011","","","","","",""
