"items__id_pleito","items__tipo_interessado","items__interessado","items__cod_ibge","items__uf","items__num_pvl","items__status","items__num_processo","items__data_protocolo","items__tipo_operacao","items__finalidade","items__tipo_credor","items__credor","items__moeda","items__valor","items__pvl_assoc_divida","items__pvl_contradado_credor","items__data_status","hasMore","limit","offset","count","links__rel","links__href"
"9970","Município","Queimados","3304144","RJ","null","Deferido","17944.001090/2012-41","2012-07-16T03:00:00Z","Operação contratual interna","Aquisição de máquinas, equipamentos e veículos","Instituição Financeira Nacional","Agência de Fomento do Estado do Rio de Janeiro","Real","3349620","0","0","13/08/2012","False","5000","0","235","self","http://apidatalake-ords.apps.ocp.tesouro.gov.br/ords/sadipem/tt/pvl?uf=RJ&tipo_interessado=Munic%C3%ADpio"
"10412","Município","Maricá","3302700","RJ","null","Arquivado por decurso de prazo","17944.001193/2011-20","2012-09-12T03:00:00Z","Operação contratual interna","PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias","Instituição Financeira Nacional","Caixa Econômica Federal","Real","22800000","0","0","17/10/2012","","","","","describedby","http://apidatalake-ords.apps.ocp.tesouro.gov.br/ords/sadipem/metadata-catalog/tt/item"
"9234","Município","Nova Friburgo","3303401","RJ","null","Deferido","17944.000933/2013-72","2013-08-30T03:00:00Z","Operação contratual interna","Provias","Instituição Financeira Nacional","Banco do Brasil S/A","Real","14000000","1","0","09/10/2013","","","","","first","http://apidatalake-ords.apps.ocp.tesouro.gov.br/ords/sadipem/tt/pvl?uf=RJ&tipo_interessado=Munic%C3%ADpio"
"11690","Município","Tanguá","3305752","RJ","null","Arquivado","17944.001503/2008-19","2008-11-04T02:00:00Z","Operação contratual interna","PNAFM","Instituição Financeira Nacional","Caixa Econômica Federal","Real","300381","0","0","06/02/2009","","","","","",""
"13753","Município","Piraí","3304003","RJ","null","Deferido","19405.000071/2002-58","2002-09-30T03:00:00Z","Operação contratual interna","PMAT","Instituição Financeira Nacional","Banco Nacional de Desenvolvimento Econômico e Social","Real","408600","0","0","11/10/2002","","","","","",""
"13579","Município","Rio de Janeiro","3304557","RJ","null","Arquivado","19405.000029/2006-61","2006-07-20T03:00:00Z","Operação contratual interna","Saneamento básico","Instituição Financeira Nacional","Caixa Econômica Federal","Real","1316493.93","0","0","26/06/2007","","","","","",""
"9317","Município","Nova Iguaçu","3303500","RJ","null","Regularizado","17944.000953/2007-03","2007-06-18T03:00:00Z","Operação contratual interna","Regularização de Dívida - Outros","Outras Organizações","Pessoa Jurídica","Real","1077466.66","1","0","02/08/2007","","","","","",""
"10174","Município","Miracema","3303005","RJ","null","Arquivado","17944.001137/2008-90","2008-04-08T03:00:00Z","Operação contratual interna","Caminho da Escola 2","Instituição Financeira Nacional","Banco do Brasil S/A","Real","342000","0","0","26/08/2008","","","","","",""
"58189","Município","Nova Friburgo","3303401","RJ","PVL02.003661/2022-91","Em análise","17944.101850/2022-91","2022-12-29T13:19:12Z","Operação contratual interna (com garantia da União)","Infraestrutura","Instituição Financeira Nacional","Caixa Econômica Federal","Real","30000000","0","0","29/12/2022","","","","","",""
"13584","Município","Rio de Janeiro","3304557","RJ","null","Arquivado","19405.000030/2006-95","2006-07-20T03:00:00Z","Operação contratual interna","Saneamento básico","Instituição Financeira Nacional","Caixa Econômica Federal","Real","864000","0","0","26/06/2007","","","","","",""
"60039","Município","Petrópolis","3303906","RJ","PVL02.005942/2022-88","Deferido","17944.102384/2022-61","2022-06-21T13:12:44Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Caixa Econômica Federal","Real","20000000","0","1","23/06/2022","","","","","",""
"4977","Município","Petrópolis","3303906","RJ","null","Arquivado por decurso de prazo","17944.000013/2015-16","2017-03-03T03:00:00Z","Operação contratual interna","PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias","Instituição Financeira Nacional","Caixa Econômica Federal","Real","4785780","0","0","17/08/2017","","","","","",""
"5713","Município","Volta Redonda","3306305","RJ","null","Deferido","17944.000179/2014-51","2014-03-14T03:00:00Z","Operação contratual interna","PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias","Instituição Financeira Nacional","Caixa Econômica Federal","Real","2851305.24","0","0","24/03/2014","","","","","",""
"6670","Município","Duque de Caxias","3301702","RJ","null","Deferido","17944.000406/2008-09","2008-03-27T03:00:00Z","Operação contratual interna","PAC - Saneamento - 2008","Instituição Financeira Nacional","Caixa Econômica Federal","Real","152248602.4","0","0","28/03/2008","","","","","",""
"34100","Município","Resende","3304201","RJ","PVL02.003091/2019-33","Deferido (PVL-IF)","null","null","Operação contratual interna","Aporte de capital","Instituição Financeira Nacional","Caixa Econômica Federal","Real","3600000","0","1","27/09/2019","","","","","",""
"31378","Município","Petrópolis","3303906","RJ","PVL02.000583/2019-77","Deferido","17944.101202/2019-39","2019-04-11T19:29:03Z","Operação contratual interna","PNAFM","Instituição Financeira Nacional","Caixa Econômica Federal","Real","9200000","1","1","23/04/2019","","","","","",""
"31436","Município","Nilópolis","3303203","RJ","PVL02.000708/2019-69","Deferido (PVL-IF)","null","null","Operação contratual interna","PNAFM","Instituição Financeira Nacional","Caixa Econômica Federal","Real","4745738.61","0","0","21/06/2019","","","","","",""
"9452","Município","Rio de Janeiro","3304557","RJ","null","Arquivado","17944.000984/2009-18","2009-08-13T03:00:00Z","Operação contratual externa (com garantia da União)","Multissetorial","Instituição Financeira Internacional","Banco Internacional para Reconstrução e Desenvolvimento","Dólar dos EUA","0.01","0","0","09/02/2010","","","","","",""
"5470","Município","Rio de Janeiro","3304557","RJ","null","Deferido","17944.000121/2010-84","2010-10-28T02:00:00Z","Operação contratual interna","PAC - Pró-Moradia - 2009","Instituição Financeira Nacional","Caixa Econômica Federal","Real","247574236.14","1","0","19/11/2010","","","","","",""
"6388","Município","Itaboraí","3301900","RJ","null","Regularizado","17944.000334/2012-78","2018-11-22T02:00:00Z","Operação contratual interna","Regularização de Dívida - Energia Elétrica","Empresa Não Estatal","Ampla Energia e Serviços S/A","Real","8493818.21","0","0","04/12/2018","","","","","",""
"5763","Município","Rio de Janeiro","3304557","RJ","null","Deferido","17944.000190/2013-31","2013-04-02T03:00:00Z","Operação contratual interna","PAC 2 - Mobilidade Grandes Cidades","Instituição Financeira Nacional","Caixa Econômica Federal","Real","1097000000","1","0","25/04/2013","","","","","",""
"7596","Município","Barra Mansa","3300407","RJ","null","Regularizado","17944.000617/2007-52","2007-06-13T03:00:00Z","Operação contratual interna","Regularização de Dívida - Energia Elétrica","Empresa Não Estatal","Light - Serviços de Eletricidade S/A","Real","13505401.39","1","0","15/06/2007","","","","","",""
